source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
,,,,,,,,,"Ornithodoros anduzei MATHESON, 1941",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,anduzei,,species,,"MATHESON, 1941",,,,,,Ornithodoros anduzei
,,,,,,,,,Ornithodoros apertus Walton,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,apertus,,species,,Walton,,,,,,Ornithodoros apertus
,,,,,,,,,"Ornithodoros aquilae Cooley, 1944",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,aquilae,,species,,"Cooley, 1944",,,,,,Ornithodoros aquilae
,,,,,,,,,"Ornithodoros arenicolous Hoogstraal, 1953",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,arenicolous,,species,,"Hoogstraal, 1953",,,,,,Ornithodoros arenicolous
,,,,,,,,,Ornithodoros asperus Warburton,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,asperus,,species,,Warburton,,,,,,Ornithodoros asperus
,,,,,,,,,"Ornithodoros azteci Matheson, 1935",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,azteci,,species,,"Matheson, 1935",,,,,,Ornithodoros azteci
,,,,,,,,,Ornithodoros batuensis Hirst,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,batuensis,,species,,Hirst,,,,,,Ornithodoros batuensis
,,,,,,,,,"Ornithodoros boliviensis Kohls & Clifford, 1964",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,boliviensis,,species,,"Kohls & Clifford, 1964",,,,,,Ornithodoros boliviensis
,,,,,,,,,Ornithodoros brasiliensis Aragao,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,brasiliensis,,species,,Aragao,,,,,,Ornithodoros brasiliensis
,,,,,,,,,Ornithodoros brodyi Matheson,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,brodyi,,species,,Matheson,,,,,,Ornithodoros brodyi
