source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonicalName,acceptedTaxon,parentTaxon
"Lewis, GBIF",Animalia,Ctenophthalmidae,Species,"Dale, 1878",,Ceratophyllus minor,Palaeopsylla minor,Ceratophyllus
"Lewis, GBIF",Animalia,Ctenophthalmidae,Species,"Dale, 1878",,Ceratophyllus sorecis,Palaeopsylla soricis soricis,Ceratophyllus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"(Rothschild, 1908)",,Chiliopsylla allophyla allophyla,Chiliopsylla allophyla allophyla,Chiliopsylla
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Beaucournu & Alcover, 1990",,Chiliopsylla allophyla tonnii,Chiliopsylla allophyla tonnii,Chiliopsylla
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Genus,"Rothschild, 1915",,Chiliopsylla,Chiliopsylla,Ctenophthalminae
Lewis,Animalia,Ctenophthalmidae,Subspecies,"Wagner, 1936",,Ctenophthalmu ruris karamani,Ctenophthalmus ruris,Ctenophthalmu
"Lewis, CoL, GBIF, NMNH",Animalia,Ctenophthalmidae,Species,"Jordan & Rothschild, 1913",,Ctenophthalmus acanthurus,Ctenophthalmus acanthurus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Species,"Ioff & Argyropulo, 1934",,Ctenophthalmus acuminatus,Ctenophthalmus acuminatus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Species,"Jordan, 1929",,Ctenophthalmus acunus,Ctenophthalmus acunus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Species,"Wei, Chen & Liu, 1981",,Ctenophthalmus acutilobatus,Ctenophthalmus acutilobatus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Species,"Jordan & Rothschild, 1920",,Ctenophthalmus adetus,Ctenophthalmus bisoctodentatus bisoctodentatus,Ctenophthalmus
"Lewis, CoL, GBIF, NMNH",Animalia,Ctenophthalmidae,Subspecies,"(Heller, 1896)",,Ctenophthalmus agyrtes agyrtes,Ctenophthalmus agyrtes agyrtes,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Wagnr, 1930",,Ctenophthalmus agyrtes bosnicus,Ctenophthalmus agyrtes serbicus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Rosicky & Carnelutti, 1959",,Ctenophthalmus agyrtes carnicus,Ctenophthalmus agyrtes wagnerianus,Ctenophthalmus
Lewis,Animalia,Ctenophthalmidae,Subspecies,"Jordan & Rothschild, 1922",,Ctenophthalmus agyrtes celticus,Ctenophthalmus nobilis nobilis,Ctenophthalmus
Lewis,Animalia,Ctenophthalmidae,Subspecies,"Peus, 1963",,Ctenophthalmus agyrtes corsus,Ctenophthalmus agyrtes sardiniensis,Ctenophthalmus
"Lewis, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Beaucournu, Valle & Launay, 1981",,Ctenophthalmus agyrtes culter,Ctenophthalmus agyrtes culter,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Rostigayev, 1959",,Ctenophthalmus agyrtes dinarus,Ctenophthalmus agyrtes dinarus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Jordan & Rothschild, 1912",,Ctenophthalmus agyrtes eurous,Ctenophthalmus agyrtes eurous,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Peus, 1950",,Ctenophthalmus agyrtes fennicus,Ctenophthalmus agyrtes fennicus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Jordan, 1926",,Ctenophthalmus agyrtes graecus,Ctenophthalmus agyrtes graecus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Rosicky & Carnelutti, 1959",,Ctenophthalmus agyrtes hadzhii,Ctenophthalmus agyrtes serbicus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Rosicky, 1951",,Ctenophthalmus agyrtes hanzaki,Ctenophthalmus agyrtes agyrtes,Ctenophthalmus
Lewis,Animalia,Ctenophthalmidae,Subspecies,"Jordan, 1938",,Ctenophthalmus agyrtes hispanus,Ctenophthalmus hispanicus,Ctenophthalmus
"Lewis, CoL, GBIF, NMNH",Animalia,Ctenophthalmidae,Subspecies,"Jordan, 1928",,Ctenophthalmus agyrtes impavidus,Ctenophthalmus agyrtes impavidus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Rosicky, 1955",,Ctenophthalmus agyrtes jiroveci,Ctenophthalmus agyrtes prothelenus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Peus, 1950",,Ctenophthalmus agyrtes jordanianus,Ctenophthalmus agyrtes jordanianus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Peus, 1950",,Ctenophthalmus agyrtes kleinschmidtianus,Ctenophthalmus agyrtes kleinschmidtianus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Wagner, 1930",,Ctenophthalmus agyrtes kraljevensis,Ctenophthalmus agyrtes serbicus,Ctenophthalmus
Lewis,Animalia,Ctenophthalmidae,Subspecies,"Rothschild, 1898",,Ctenophthalmus agyrtes nobilis,Ctenophthalmus nobilis nobilis,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Ioff, 1953",,Ctenophthalmus agyrtes noster,Ctenophthalmus agyrtes kleinschmidtianus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Rosicky, 1957",,Ctenophthalmus agyrtes obenbergeri,Ctenophthalmus agyrtes peusianus,Ctenophthalmus
"Lewis, CoL, GBIF",Animalia,Ctenophthalmidae,Subspecies,"Wagner, 1939",,Ctenophthalmus agyrtes ohridanus,Ctenophthalmus agyrtes ohridanus,Ctenophthalmus
