rankID,sciname,scientificNameAuthorship,parentNameUsage,acceptedNameUsage,taxonRemarks,scientificName
220,witherbyi,,Apodemus,,,Apodemus witherbyi
180,Apomys,,Muridae,,,
220,abrae,,Apomys,,,Apomys abrae
220,aurorae,,Apomys,,,Apomys aurorae
220,banahao,,Apomys,,,Apomys banahao
220,brownorum,,Apomys,,,Apomys brownorum
220,camiguinensis,,Apomys,,,Apomys camiguinensis
220,datae,,Apomys,,,Apomys datae
220,gracilirostris,,Apomys,,,Apomys gracilirostris
220,hylocetes,,Apomys,,,Apomys hylocetes
220,insignis,,Apomys,,,Apomys insignis
220,iridensis,,Apomys,,,Apomys iridensis
220,littoralis,,Apomys,,,Apomys littoralis
220,lubangensis,,Apomys,,,Apomys lubangensis
220,magnus,,Apomys,,,Apomys magnus
220,microdon,,Apomys,,,Apomys microdon
220,minganensis,,Apomys,,,Apomys minganensis
220,musculus,,Apomys,,,Apomys musculus
220,sacobianus,,Apomys,,,Apomys sacobianus
220,sierrae,,Apomys,,,Apomys sierrae
220,zambalensis,,Apomys,,,Apomys zambalensis
180,Aproteles,,Pteropodidae,,,
220,bulmerae,,Aproteles,,,Aproteles bulmerae
180,Arabitragus,,Bovidae,,,
220,jayakari,,Arabitragus,,,Arabitragus jayakari
180,Arborimus,,Cricetidae,,,
220,albipes,,Arborimus,,,Arborimus albipes
220,longicaudus,,Arborimus,,,Arborimus longicaudus
220,pomo,,Arborimus,,,Arborimus pomo
140,Archaeolemuridae,,Primates,,,
180,Archaeolemur,,Archaeolemuridae,,,
220,edwardsi,,Archaeolemur,,,Archaeolemur edwardsi
220,majori,,Archaeolemur,,,Archaeolemur majori
180,Archboldomys,,Muridae,,,
220,luzonensis,,Archboldomys,,,Archboldomys luzonensis
220,maximus,,Archboldomys,,,Archboldomys maximus
140,Viverridae,,Carnivora,,,
180,Arctictis,,Viverridae,,,
220,binturong,,Arctictis,,,Arctictis binturong
140,Lorisidae,,Primates,,,
180,Arctocebus,,Lorisidae,,,
220,aureus,,Arctocebus,,,Arctocebus aureus
220,calabarensis,,Arctocebus,,,Arctocebus calabarensis
140,Otariidae,,Carnivora,,,
180,Arctocephalus,,Otariidae,,,
220,australis,,Arctocephalus,,,Arctocephalus australis
220,forsteri,,Arctocephalus,,,Arctocephalus forsteri
220,galapagoensis,,Arctocephalus,,,Arctocephalus galapagoensis
220,gazella,,Arctocephalus,,,Arctocephalus gazella
220,philippii,,Arctocephalus,,,Arctocephalus philippii
