"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","FURCOSUS","","","NEUMANN","Ornithodoros furcosus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","GALAPAGENSIS","","","KOHLS  CLIFFORD  HOOGSTRAAL","Ornithodoros galapagensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","GRAINGERI","","","HEISCH  GUGGISBERG","Ornithodoros graingeri"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","GRENIERI","","","KLEIN","Ornithodoros grenieri"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","guaporensis","","","","Ornithodoros guaporensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","GURNEYI","","","WARBURTON","Ornithodoros gurneyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","HASEI","","","(SCHULZE)","Ornithodoros hasei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","HERMSI","","","WHEELER  HERMS  MEYER","Ornithodoros hermsi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","INDICA","","","RAU  RAO 1971","Ornithodoros indica"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","KELLEYI","","","COOLEY  KOHLS 1941","Ornithodoros kelleyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","KNOXJONESI","","","JONES  CLIFFORD","Ornithodoros knoxjonesi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","LAHORENSIS","","","NEUMANN","Ornithodoros lahorensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MACMILLANI","","","HOOGSTRAAL  KOHLS 1966","Ornithodoros macmillani"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MADAGASCARIENSIS","","","HOOGSTRAAL 1962","Ornithodoros madagascariensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MARINKELLEI","","","KOHLS  CLIFFORD  JONES","Ornithodoros marinkellei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MARITIMUS","","","VERMEIL  MARGUET","Ornithodoros maritimus"
